## Module List

| # | Module Folder | Display Name | Version | Category | Custom Addon Dependencies | Generate Docs | Analyze Module |
| 40 | `hr_employee_fields_style` | HR Employee Fields Style | 18.0.1.3.0 | HR Employee | hr_employee_additional_information, hr_employee_age, hr_employee_alias_email, hr_employee_certifications, hr_employee_dial_in_field, hr_employee_groups_rules_report, hr_employee_growth, hr_employee_hr_files_tab, hr_employee_hr_leave_of_absence_tab, hr_employee_hr_report_tab, hr_employee_hr_termination_tab, hr_employee_hr_workers_comp_tab, hr_employee_license_name, hr_employee_license_reports, hr_employee_licenses, hr_employee_list_custom_view, hr_employee_split_name_fields, hr_employee_training_tab, hr_employee_user_control, hr_employee_work_phone_extension, hr_internal_trainings, employee_custom_fields, hr_employee_reimbursement, ticket_system | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_fields_style docs/modules/hr/hr_employee_fields_style` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_fields_style` |
| 41 | `hr_employee_groups_rules_report` | HR Employee Group Pivot Report | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_groups_rules_report docs/modules/hr/hr_employee_groups_rules_report` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_groups_rules_report` |
| 42 | `hr_employee_growth` | Employee Growth Plans | 18.0.1.0.0 | Human Resources | employees_department_custom_fields, document_library, web_timeline | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_growth docs/modules/hr/hr_employee_growth` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_growth` |
| 43 | `hr_employee_hr_files_tab` | HR Employee HR Files Tab | 18.0.3.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_hr_files_tab docs/modules/hr/hr_employee_hr_files_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_hr_files_tab` |
| 44 | `hr_employee_hr_leave_of_absence_tab` | HR Employee Leave Of Absence Tab | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_hr_leave_of_absence_tab docs/modules/hr/hr_employee_hr_leave_of_absence_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_hr_leave_of_absence_tab` |
| 45 | `hr_employee_hr_report_tab` | HR Employee Incident Report | 18.0.2.0.1 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_hr_report_tab docs/modules/hr/hr_employee_hr_report_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_hr_report_tab` |
| 46 | `hr_employee_hr_termination_tab` | HR Employee Termination Tab | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_hr_termination_tab docs/modules/hr/hr_employee_hr_termination_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_hr_termination_tab` |
| 47 | `hr_employee_hr_workers_comp_tab` | HR Employee Worker's Comp Tab | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_hr_workers_comp_tab docs/modules/hr/hr_employee_hr_workers_comp_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_hr_workers_comp_tab` |
| 48 | `hr_employee_license_name` | Employee License Names | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_license_name docs/modules/hr/hr_employee_license_name` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_license_name` |
| 49 | `hr_employee_license_reports` | Employee Licenses Report | 18.0.1.0.0 | Human Resources | hr_employee_licenses | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_license_reports docs/modules/hr/hr_employee_license_reports` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_license_reports` |
| 50 | `hr_employee_licenses` | Employee Assigned Licenses | 18.0.1.0.1 | Human Resources | hr_employee_license_name | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_licenses docs/modules/hr/hr_employee_licenses` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_licenses` |
| 51 | `hr_employee_list_custom_view` | Employee Custom List View | 18.0.1.0.0 | Sales/Partners | hr_employee_hr_termination_tab, hr_employee_additional_information | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_list_custom_view docs/modules/hr/hr_employee_list_custom_view` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_list_custom_view` |
| 52 | `hr_employee_main_notes_filter` | HR Employee Notes On List View | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_main_notes_filter docs/modules/hr/hr_employee_main_notes_filter` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_main_notes_filter` |
| 53 | `hr_Employee_notifications` | HR Notifications | 18.0.1.0.0 | HR Employee | hr_employee_additional_information, hr_employee_age, hr_employee_alias_email, hr_employee_certifications, hr_employee_dial_in_field, hr_employee_groups_rules_report, hr_employee_growth, hr_employee_hr_files_tab, hr_employee_hr_leave_of_absence_tab, hr_employee_hr_report_tab, hr_employee_hr_termination_tab, hr_employee_hr_workers_comp_tab, hr_employee_license_name, hr_employee_license_reports, hr_employee_licenses, hr_employee_list_custom_view, hr_employee_split_name_fields, hr_employee_training_tab, hr_employee_user_control, hr_employee_work_phone_extension, hr_internal_trainings, employee_custom_fields, hr_employee_reimbursement, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_Employee_notifications docs/modules/hr/hr_Employee_notifications` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_Employee_notifications` |
| 54 | `hr_employee_phone_area_code` | Employee Phone Area Code | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_phone_area_code docs/modules/hr/hr_employee_phone_area_code` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_phone_area_code` |
| 55 | `hr_employee_reimbursement` | HR Reimbursements | 18.0.1.0.0 | HR Employee | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_reimbursement docs/modules/hr/hr_employee_reimbursement` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_reimbursement` |
| 56 | `hr_employee_split_name_fields` | HR Employee Split Names | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_split_name_fields docs/modules/hr/hr_employee_split_name_fields` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_split_name_fields` |
| 57 | `hr_employee_training_tab` | HR Employee HR Training Files Tab | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_training_tab docs/modules/hr/hr_employee_training_tab` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_training_tab` |
| 58 | `hr_employee_user_control` | Employee User Control | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_user_control docs/modules/hr/hr_employee_user_control` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_user_control` |
| 59 | `hr_employee_work_phone_extension` | Employee Work Phone Extension | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_work_phone_extension docs/modules/hr/hr_employee_work_phone_extension` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_work_phone_extension` |
| 60 | `hr_internal_trainings` | HR Internal Training & Compliance | 1.1.1 | Human Resources | hr_employee_certifications, activity_modification | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_internal_trainings docs/modules/hr/hr_internal_trainings` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_internal_trainings` |
| 61 | `hr_org_chart_fixed` | HR Fixed Organization Chart | 18.0.1.0.1 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_org_chart_fixed docs/modules/hr/hr_org_chart_fixed` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_org_chart_fixed` |
| 62 | `hr_recruitment_custom_list` | Recruitment - Custom List View | 18.0.1.0.1 | Human Resources/Recruitment | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_recruitment_custom_list docs/modules/hr/hr_recruitment_custom_list` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_recruitment_custom_list` |
| 63 | `hr_recruitment_enhanced` | HR Recruitment Enhanced | 18.0.1.9.2 | Human Resources/Recruitment | recruitment_interview_manager | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_recruitment_enhanced docs/modules/hr/hr_recruitment_enhanced` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_recruitment_enhanced` |
| 64 | `hr_recruitment_internal_recommendation` | HR Recruitment Internal Recommendations | 18.0.1.0.3 | Human Resources/Recruitment | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_recruitment_internal_recommendation docs/modules/hr/hr_recruitment_internal_recommendation` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_recruitment_internal_recommendation` |
| 65 | `hr_recruitment_job_boards` | HR Recruitment Job Boards | 18.0.1.0.0 | Human Resources/Recruitment | hr_recruitment_enhanced, recruitment_interview_manager, hr_recruitment_internal_recommendation | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_recruitment_job_boards docs/modules/hr/hr_recruitment_job_boards` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_recruitment_job_boards` |
| 66 | `hr_skills_quick_select` | HR Skills Quick Select | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_skills_quick_select docs/modules/hr/hr_skills_quick_select` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_skills_quick_select` |
| 67 | `hr_training_kpi_dashboard` | Training KPI Dashboard | 18.0.1.0.0 | Human Resources | hr_internal_trainings, customization_left_menu | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_training_kpi_dashboard docs/modules/hr/hr_training_kpi_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_training_kpi_dashboard` |
| 68 | `incident_reports` | Incident Reports | 18.0.1.0.0 | Safety | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/incident_reports docs/modules/utilities/incident_reports` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/incident_reports` |
| 69 | `integration_health_monitor` | Integration Health Monitor | 18.0.1.0.4 | Technical | web, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/integration_health_monitor docs/modules/utilities/integration_health_monitor` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/integration_health_monitor` |
| 70 | `inventory_extension` | Inventory Custom Fields | 18.0.1.0.0 | Inventory | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/inventory_extension docs/modules/utilities/inventory_extension` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/inventory_extension` |
| 71 | `kpi_dashboard` | KPI Dashboard | 18.0.1.0.0 | KPI | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/kpi_dashboard docs/modules/utilities/kpi_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/kpi_dashboard` |
| 72 | `lead_gathering` | Lead Gatherer | 1.1 | CRM | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/lead_gathering docs/modules/crm/lead_gathering` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/lead_gathering` |
| 73 | `lessons_learned` | Lessons Learned Module | 18.0.1.0.4 | CRM | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/lessons_learned docs/modules/crm/lessons_learned` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/lessons_learned` |
| 74 | `m365_scheduling_sync` | M365 Scheduling Sync | 18.0.1.0.0 | Services & Integrations | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/m365_scheduling_sync docs/modules/api_integration/m365_scheduling_sync` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/m365_scheduling_sync` |
| 75 | `mail_activity_kpi_dashboard` | Mail Activity KPI Dashboard | 18.0.2.0.0 | Productivity | activity_modification, customization_left_menu | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/mail_activity_kpi_dashboard docs/modules/utilities/mail_activity_kpi_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/mail_activity_kpi_dashboard` |
| 76 | `main_menu_reorder` | Main Menu Reorder | 18.0.1.2.2 | Administration | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/main_menu_reorder docs/modules/utilities/main_menu_reorder` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/main_menu_reorder` |
| 77 | `maintenance_equipment_job_position` | Maintenance Equipment Job Position | 18.0.1.0.0 | Maintenance | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/maintenance_equipment_job_position docs/modules/utilities/maintenance_equipment_job_position` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/maintenance_equipment_job_position` |
| 78 | `maintenance_equipment_ux` | Maintenance Equipment UX | 18.0.6.0.1 | Maintenance | maintenance_request_image, maintenance_equipment_job_position | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/maintenance_equipment_ux docs/modules/utilities/maintenance_equipment_ux` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/maintenance_equipment_ux` |
| 79 | `maintenance_request_image` | Maintenance Equipment Request Image | 18.0.1.0.0 | Maintenance | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/maintenance_request_image docs/modules/utilities/maintenance_request_image` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/maintenance_request_image` |
| 80 | `odoo_ai_vector_core` | Odoo AI Vector Core | 18.0.1.0.0 | Technical | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/odoo_ai_vector_core docs/modules/utilities/odoo_ai_vector_core` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/odoo_ai_vector_core` |
| 81 | `odoo_event_notifications` | Odoo Event Notifications | 18.0.2.0.24 | Administration | web, common_logging, security_permission_notifications | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/odoo_event_notifications docs/modules/utilities/odoo_event_notifications` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/odoo_event_notifications` |
| 82 | `opportunity_project_port` | CRM Opportunity to Project Port | 18.0.1.0.0 | Sales | crm_custom_fields, project_custom_fields, crm_notes, project_notes, project_bonding | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/opportunity_project_port docs/modules/crm/opportunity_project_port` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/opportunity_project_port` |
| 83 | `payroll_account` | Payroll Accounting | 18.0.1.0.2 | Payroll | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/payroll_account docs/modules/hr/payroll_account` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/payroll_account` |
| 84 | `project_bom` | Project BOM Additions | 18.0.1.0.7 | Project | hr_employee_certifications, project_custom_fields, crm_custom_fields, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_bom docs/modules/project/project_bom` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_bom` |
| 85 | `project_bonding` | Project Bonding | 18.0.1.0.0 | Project | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_bonding docs/modules/project/project_bonding` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_bonding` |
| 86 | `project_change_order` | Project Change Order Module | 18.0.1.0.4 | Project | web, project_bom, ticket_system, activity_modification | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_change_order docs/modules/project/project_change_order` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_change_order` |
| 87 | `project_change_order_crm_checklist` | Project Change Order — CRM Checklist | 18.0.1.0.2 | Sales | project_change_order, crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/project_change_order_crm_checklist docs/modules/crm/project_change_order_crm_checklist` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/project_change_order_crm_checklist` |
